EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU;RAM_TOTAL;RAM_USADA;RAM_PERCENT;DISCO_TOTAL;DISCO_USADO;DISCO_PERCENT;QTD_PR;DATA_HORA
STEAM;A1;DATA_CENTER_01;A1;AB043;7.1;7993270272;5981335552;74.8;250375106560;43735150592;18.4;278;2026-04-08 10:41:32.160030
STEAM;A1;DATA_CENTER_01;A1;AB043;1.3;7993270272;5999747072;75.1;250375106560;43735158784;18.4;275;2026-04-08 10:41:39.224437
STEAM;A1;DATA_CENTER_01;A1;AB043;1.5;7993270272;6060666880;75.8;250375106560;43735158784;18.4;276;2026-04-08 10:41:46.252825
STEAM;A1;DATA_CENTER_01;A1;AB043;2.0;7993270272;6015791104;75.3;250375106560;43735158784;18.4;278;2026-04-08 10:41:53.298303
STEAM;A1;DATA_CENTER_01;A1;AB043;1.7;7993270272;5988843520;74.9;250375106560;43735154688;18.4;274;2026-04-08 10:42:00.325168
STEAM;A1;DATA_CENTER_01;A1;AB043;2.2;7993270272;6006214656;75.1;250375106560;43735154688;18.4;277;2026-04-08 10:42:07.359540
STEAM;A1;DATA_CENTER_01;A1;AB043;35.2;7993270272;6873747456;86.0;250375106560;43745296384;18.4;292;2026-04-08 10:46:08.716816
STEAM;A1;DATA_CENTER_01;A1;AB043;28.0;7993270272;6849736704;85.7;250375106560;43745271808;18.4;292;2026-04-08 10:46:20.333558
STEAM;A1;DATA_CENTER_01;A1;AB043;34.3;7993270272;6801977344;85.1;250375106560;43745292288;18.4;290;2026-04-08 10:47:07.616545
STEAM;A1;DATA_CENTER_01;A1;AB043;15.0;7993270272;6786326528;84.9;250375106560;43745292288;18.4;287;2026-04-08 10:47:14.655409
STEAM;A1;DATA_CENTER_01;A1;AB043;13.2;7993270272;6787563520;84.9;250375106560;43745292288;18.4;290;2026-04-08 10:47:16.322889
STEAM;A1;DATA_CENTER_01;A1;AB043;28.0;7993270272;6853521408;85.7;250375106560;43745292288;18.4;290;2026-04-08 10:47:23.374889
STEAM;A1;DATA_CENTER_01;A1;AB043;16.0;7993270272;6891778048;86.2;250375106560;43745296384;18.4;290;2026-04-08 10:47:29.865800
STEAM;A1;DATA_CENTER_01;A1;AB043;2.2;7993270272;6776459264;84.8;250375106560;43745288192;18.4;287;2026-04-08 10:47:36.894982
STEAM;A1;DATA_CENTER_01;A1;AB043;3.0;7993270272;6828396544;85.4;250375106560;43745304576;18.4;290;2026-04-08 10:47:43.920477
STEAM;A1;DATA_CENTER_01;A1;AB043;13.6;7993270272;6736248832;84.3;250375106560;43745308672;18.4;288;2026-04-08 10:47:50.946951
STEAM;A1;DATA_CENTER_01;A1;AB043;5.7;7993270272;6727286784;84.2;250375106560;43745284096;18.4;288;2026-04-08 10:47:57.978605
STEAM;A1;DATA_CENTER_01;A1;AB043;1.3;7993270272;6721953792;84.1;250375106560;43745284096;18.4;284;2026-04-08 10:48:05.004495
STEAM;A1;DATA_CENTER_01;A1;AB043;29.4;7993270272;5776830464;72.3;250375106560;43742584832;18.4;279;2026-04-08 11:00:14.859404
STEAM;A1;DATA_CENTER_01;A1;AB043;24.7;7993270272;5859057664;73.3;250375106560;43742584832;18.4;280;2026-04-08 11:00:31.093967
STEAM;A1;DATA_CENTER_01;A1;AB043;1.9;7993270272;5931139072;74.2;250375106560;43742588928;18.4;278;2026-04-08 11:00:38.128020
